"City","Monument","Type","Year"
"Cincinnati","Beauregard Court","Road/Street/Highway","N/A"
"Cincinnati","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Cincinnati","Stonewall Jackson Drive","Road/Street/Highway","N/A"
