"City","Monument","Type","Year"
"Bronx","Longstreet Avenue","Road/Street/Highway","N/A"
"Brooklyn","General Lee Avenue","Road/Street/Highway","N/A"
"Brooklyn","Stonewall Jackson Drive","Road/Street/Highway","N/A"
